State,Score Peace Index,Percent Religious
Maine,1.308,34
Vermont,1.547,34
New Hampshire,1.551,33
Minnesota,1.614,49
Utah,1.723,64
North Dakota,1.744,53
Washington,1.782,45
Hawaii,1.784,47
Rhode Island,1.788,49
Iowa,1.865,55
Nebraska,1.927,54
Massachusetts,2.004,33
Oregon,2.072,48
Connecticut,2.194,43
West Virginia,2.197,69
Idaho,2.226,51
Wyoming,2.264,54
Montana,2.273,48
Wisconsin,2.302,45
South Dakota,2.318,59
Kentucky,2.318,63
Ohio,2.328,58
Indiana,2.345,54
Pennsylvania,2.375,53
Virginia,2.477,61
Colorado,2.526,47
Kansas,2.573,55
New Jersey,2.631,55
Michigan,2.694,53
North Carolina,2.714,65
New York,2.722,46
California,2.738,49
Alaska,2.751,45
New Mexico,2.853,57
Illinois,2.892,51
Georgia,3.04,66
Oklahoma,3.111,66
Maryland,3.145,54
Delaware,3.148,52
Alabama,3.17,77
Mississippi,3.17,77
South Carolina,3.178,70
Arkansas,3.201,70
Texas,3.202,64
Missouri,3.205,60
Arizona,3.217,53
Florida,3.365,54
Nevada,3.368,49
Tennessee,3.413,73
Louisiana,4.049,71
